Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
1912,3,4.2,6.1,7.9,10.5,12.5,14.5,11.7,10.3,7.7,5.4,5.5,8.29
1913,3.5,4.2,4.9,6.8,10.1,12.8,13.6,14.2,12.7,10.1,7.3,4.2,8.71
1914,2.8,5.5,4.8,8.6,9.4,13.1,14.6,14.8,12.2,9.4,5.8,3.4,8.71
1915,3,3.1,4.2,6.8,9.3,12.8,13.4,14.1,12.2,8.3,2.6,3.9,7.83
1916,6.3,2.8,2.5,7,9.9,10.6,14,14.9,12,9.4,6.1,2,8.13
1917,1.1,1,2.5,4.3,10.8,13.2,14.7,14.4,12.7,6.6,7,2,7.56
1918,2.6,5.5,4.9,5.9,11.4,11.9,14.1,14.7,10.4,8.3,4.9,5.6,8.36
1919,2.4,1.2,2.5,6.2,11.7,12.5,12.9,14.3,11.6,7.2,2.3,4.2,7.45
1920,3.9,5,5.8,6.8,10.3,12.9,12.9,12.5,11.8,9.7,6.5,3.5,8.48
1921,5.8,4.2,5.9,7.3,10,13,16.2,13.8,12.8,11.6,4.4,5.7,9.27
1922,2.9,3.7,4,4.6,10.9,12.2,12.3,12.3,11,7.6,5.3,4.8,7.66
1923,4.9,4.5,5.7,6.3,8,11.2,15.7,13.6,11.1,8.6,2.8,3.1,7.99
1924,3.8,2.9,3.2,6,9.7,12.4,13.9,13,11.9,9.1,6.4,6.1,8.22
1925,4.6,3.9,4.2,6.3,10.1,13.4,15.4,14.3,10.4,9.5,3.4,2.1,8.15
1926,3.9,5.5,5.5,8.1,8.9,12.3,15.4,14.9,13,7,5.1,3.8,8.62
1927,3.8,3.7,6.1,6.7,9.4,10.8,14.5,14.4,11.2,9.3,5.3,1.5,8.1
1928,4.2,4.8,4.9,7.1,9.6,11.2,14.4,13.9,11.5,9.1,6.7,3.1,8.38
1929,1.1,0.3,5.7,5.6,10,11.8,14.4,13.8,13.9,8.4,5.8,4.7,8.01
1930,4.3,1.8,4,7.2,9.5,13.7,14,14.4,12.4,9.3,5.1,3.8,8.32
1931,2.6,3,3.1,6.6,10,12.5,14,13.1,10.8,8.2,6.9,5,8.01
1932,5.5,3.2,4.1,5.6,9.1,12.8,14.6,15.4,11.8,7.7,5.7,4.9,8.39
1933,1.9,3.3,6.3,7.9,10.5,14,16.3,15.9,13.7,9.2,5.1,1.9,8.86
1934,4,3.9,4,6.5,9.9,13.4,16.4,13.9,13,9.2,5.3,6.9,8.89
1935,4,4.6,5.7,6.8,9,13.3,15.4,15.2,12.1,8.4,5.7,2.1,8.55
1936,2.6,1.9,5.8,5.4,10.1,13.2,14.1,14.8,13.1,8.6,5,4.5,8.29
1937,4.3,4.1,2.4,7.9,10.8,12.7,14.5,15.2,12.1,9.2,4.9,2.2,8.37
1938,4.7,4.2,8,6.9,9.3,12.7,13.6,14.5,12.5,9.3,7.8,3.5,8.96
1939,3,4.9,5.1,7.3,10.2,12.9,13.9,15.1,13,7.5,7.3,2.9,8.6
1940,-1.1,2,4.9,7.2,11.3,14.9,13.6,14.1,11.4,8.7,5.9,3.3,8.04
1941,-0.1,2.3,3.9,5.5,8.2,13.4,15.5,13.4,13.6,9.4,5.7,4.9,8
1942,1,0.2,4.1,7.9,9.7,12.6,14,14.8,12.3,9.3,4.7,5.8,8.07
1943,3.9,5.2,5.9,9.2,10.4,12.9,14.6,14.1,11.8,9.8,5.6,3.4,8.93
1944,5.1,3,4.5,8.8,9.9,12.2,14.9,15.5,11.2,8.3,5.1,3.3,8.49
1945,-0.2,5.9,7.2,8.6,10.5,13,15.2,14.6,13.2,10.7,6.7,4.6,9.18
1946,2.6,4.9,4.5,8.5,9.5,11.8,14.6,13.2,12.7,8.8,6.9,2.6,8.39
1947,1.8,-2,2.2,7.2,11.5,13.7,15.2,17,13.3,9.9,6.1,4.4,8.42
1948,3.8,3.9,7.3,7.8,9.9,12.3,14.2,13.6,12.5,9,6.7,4.9,8.84
1949,4.6,4.8,4.4,8.7,9.7,13.4,15.6,15.2,14.6,10.7,5.9,4.7,9.38
1950,3.9,4,6.5,6.3,10,14.4,14.6,14.3,11.6,8.8,4.7,0.7,8.33
1951,2.9,2.6,3.2,5.5,8.7,12.3,14.7,13.5,12.8,9.2,7.3,4.7,8.15
1952,1.7,2.8,5.6,8.3,11.6,12.5,15,14.5,9.9,8.1,3.5,2.6,8.03
1953,3.2,3.8,5.2,6.1,11.3,13,14.1,14.6,12.9,9.2,7.5,6.1,8.95
1954,2.6,1.8,4.7,6.7,10.1,12.1,12.9,13.2,11.3,10.4,5.9,5.6,8.16
1955,1.8,0.3,2.6,8.3,8.5,12.4,16,16.4,13.1,8.2,6.6,4.5,8.27
1956,2.7,-0.2,5.3,5.8,10.6,11.8,14.3,12.2,13,8.7,5.7,5.2,7.94
1957,4.5,3.9,7.9,7.7,9.3,13.4,14.8,14.1,11.2,9.7,5.8,3.9,8.87
1958,2.6,3.5,2.6,6.4,9.5,12.3,14.5,14.4,13.9,9.9,5.9,3.8,8.29
1959,0.9,3.8,6.2,8.1,11.2,13.5,15.4,15.7,13.5,11.4,6.2,4.8,9.27
1960,3.1,2.7,5.3,8,11.5,14.4,13.8,13.7,11.9,9.3,6,3,8.57
1961,2.7,5.8,7.4,8.5,9.7,12.9,13.6,13.9,13.6,9.7,5.3,1.8,8.74
1962,3.6,3.7,1.9,6.5,9,12.3,13.2,13,11.4,9.7,4.7,2.2,7.62
1963,-1.8,-1.1,5,7.2,9.1,13.3,13.6,12.9,11.8,9.7,6.6,2.4,7.45
1964,3.3,3.7,3.6,7.6,11.5,12.3,14.3,13.9,12.7,8.1,6.5,2.7,8.37
1965,2.4,2.7,4.1,7,10.1,12.9,12.4,13.4,11.2,9.9,3.5,3.3,7.79
1966,2.2,4,5.6,5.7,9.8,13.8,13.6,13.3,12.8,8.9,4.5,4.1,8.21
1967,3.7,4.5,5.7,6.8,8.8,12.9,14.8,14.2,12.4,9.2,4.9,3.7,8.49
1968,3.5,1.1,5.2,6.9,8.4,13.3,13.5,14.1,12.5,11.1,5.5,2.6,8.18
1969,4.4,0.1,2.6,6.3,9.7,12.7,15.1,15,12.6,11.8,4,2.8,8.14
1970,3,1.8,2.9,5.5,11.3,14.7,13.4,14.7,12.9,9.5,6.3,3.7,8.34
1971,3.9,4.1,4.4,6.8,10.3,11.1,15.2,14.2,13.2,10.4,5.3,6,8.78
1972,3.1,3.5,5.5,7.3,9.4,10.5,14.2,13.6,10.7,9.7,5.2,4.9,8.15
1973,3.9,3.4,5.5,5.9,9.9,13.4,14.3,14.9,12.8,8.3,5.1,4,8.5
1974,5,4.6,4.7,7.2,9.8,12.3,13.5,13.8,10.7,6.9,5.6,6.5,8.39
1975,5.3,4,3.9,7.1,8.6,13.1,15.5,16.8,11.8,9.3,5.4,4.7,8.82
1976,4.5,3.8,4,7.1,10.4,15,16.5,15.8,12,9.4,5.3,1.4,8.77
1977,1.9,3.6,5.8,6,9.2,11.2,14.6,13.9,11.7,10.7,5.1,5.2,8.28
